Timestamp,Epsilon,Delta,Condition,Dataset,Backend,Qubits,Features,Feature_Map_Reps,Shots,Library_Build_ms,Manual_Build_ms,Simulation_ms
2026-08-16T23:14:45,1.0,1e-05,amplitude_damping,sample_clinical.csv,cpu,5,5,1,1024,0.296,0.326,31.146
2026-08-16T23:14:25,1.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.307,0.316,61.825
2026-08-16T23:14:15,1.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.658,0.975,101.005
2026-08-16T23:15:24,2.0,1e-05,amplitude_damping,sample_clinical.csv,cpu,5,5,1,1024,0.297,0.325,8.295
2026-08-16T23:15:25,2.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.365,0.574,95.58
2026-08-16T23:15:05,2.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.296,0.332,22.112
2026-08-16T23:16:02,4.0,1e-05,amplitude_damping,sample_clinical.csv,cpu,5,5,1,1024,0.172,0.186,16.563
2026-08-16T23:15:44,4.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.294,0.327,31.627
2026-08-16T23:15:42,4.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.172,0.179,34.099
2026-08-16T23:16:21,8.0,1e-05,amplitude_damping,sample_clinical.csv,cpu,5,5,1,1024,0.298,0.327,8.305
2026-08-16T23:16:19,8.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.179,0.176,19.467
2026-08-16T23:16:04,8.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.294,0.316,56.018
