Timestamp,Epsilon,Delta,Condition,Dataset,Backend,Qubits,Features,Feature_Map_Reps,Shots,Library_Build_ms,Manual_Build_ms,Simulation_ms
2026-08-16T22:22:48,1.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.236,0.329,7.422
2026-08-16T22:26:42,1.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.193,0.181,29.681
2026-08-16T22:26:51,1.0,1e-05,amplitude_damping,sample_clinical.csv,cpu,5,5,1,1024,0.213,0.234,7.065
2026-08-16T22:27:00,2.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.207,0.189,7.044
2026-08-16T22:27:08,2.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.21,0.186,29.55
2026-08-16T22:27:15,2.0,1e-05,amplitude_damping,sample_clinical.csv,cpu,5,5,1,1024,0.203,0.19,6.59
2026-08-16T22:27:45,4.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.195,0.182,7.088
2026-08-16T22:28:00,4.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.215,0.183,30.821
2026-08-16T22:28:12,4.0,1e-05,amplitude_damping,sample_clinical.csv,cpu,5,5,1,1024,0.201,0.183,6.732
2026-08-16T22:28:27,8.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.218,0.185,7.325
2026-08-16T22:28:39,8.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.196,0.179,29.151
2026-08-16T22:28:54,8.0,1e-05,amplitude_damping,sample_clinical.csv,cpu,5,5,1,1024,0.197,0.182,6.276
2026-08-16T22:52:59,1.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.626,0.946,7892.271
2026-08-17T22:46:39,1.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.199,0.187,7.917
2026-08-17T22:47:16,4.0,1e-05,depolarizing,sample_clinical.csv,cpu,5,5,1,1024,0.204,0.179,28.633
2026-08-17T22:53:52,1.0,1e-05,noiseless,sample_clinical.csv,cpu,5,5,1,1024,0.199,0.182,7.366
